year	age	educ	degree	sex	postlife	happy	life	richwork	news	tvhours	usewww	zodiac	degree3	newsreordered	id	income98	region	vote96	vote00
2002	77	13	2	1	1	1	1	0	2	2	2	1	2	4	76	18	3	1	1
2002	38	14	1	1	0	0	0	0	0	-1	1	8	2	0	77	20	3	1	1
2002	28	15	1	1	1	2	2	1	1	1	2	3	2	5	78	21	3	1	1
2002	46	13	1	2	1	1	2	0	0	-1	1	4	2	0	79	22	3	1	1
2002	44	13	1	1	0	0	0	0	0	-1	1	5	2	0	80	19	3	2	2
2002	44	11	0	1	0	0	0	0	0	-1	2	6	1	0	81	18	3	2	2
2002	38	14	1	2	8	2	0	0	2	1	2	2	2	4	82	21	3	1	1
2002	48	13	1	2	1	2	2	0	0	-1	1	8	2	0	83	20	3	2	2
2002	38	12	1	1	0	0	0	0	0	-1	2	1	2	0	84	16	3	1	2
2002	78	12	1	2	1	1	1	0	0	-1	2	11	2	0	85	15	3	1	1
2002	76	98	8	2	0	0	0	0	0	-1	2	4	8	0	86	10	3	1	1
2002	70	18	4	2	0	0	0	0	0	-1	2	1	3	0	87	10	3	2	1
2002	74	7	0	1	0	0	0	0	0	-1	2	10	1	0	88	3	3	1	2
2002	83	14	1	2	1	1	0	0	1	6	2	5	2	5	89	11	3	1	1
2002	89	12	1	2	0	0	0	0	0	-1	2	7	2	0	90	8	3	1	1
2002	77	12	1	1	0	0	0	0	0	-1	2	11	2	0	91	9	3	1	1
2002	32	12	1	2	0	0	0	0	0	-1	2	9	2	0	92	20	3	1	1
2002	23	15	1	2	8	1	1	1	5	2	1	3	2	1	93	13	3	 	2
2002	33	16	3	1	1	2	0	0	1	2	1	9	3	5	94	20	3	1	1
2002	58	16	3	2	0	0	0	0	0	-1	2	4	3	0	95	20	3	2	2
2002	53	17	4	2	1	2	2	2	2	1	1	1	3	4	96	20	3	1	1
2002	50	14	1	1	1	2	0	0	1	2	1	12	2	5	97	23	3	1	1
2002	20	12	1	2	0	0	0	0	0	-1	1	1	2	0	97	6	3	 	2
2002	54	16	3	2	1	2	1	0	1	3	2	7	3	5	97	17	3	1	1
2002	44	13	1	2	1	2	2	1	2	4	1	99	2	4	100	16	3	1	1
2002	21	13	1	1	1	2	0	0	1	1	1	9	2	5	101	19	3	 	2
2002	56	13	1	2	0	0	0	0	0	-1	1	7	2	0	102	98	3	1	1
2002	50	14	1	1	0	0	0	0	0	-1	2	6	2	0	103	18	3	1	1
2002	52	13	1	2	0	0	0	0	0	-1	1	6	2	0	104	19	3	2	1
2002	21	11	0	1	1	2	1	1	0	-1	1	10	1	0	105	98	3	 	 
2002	25	17	1	2	0	0	0	0	0	-1	1	7	2	0	106	19	3	1	1
2002	70	12	1	1	0	0	0	0	0	-1	2	10	2	0	107	8	2	 	 
2002	34	12	1	2	1	2	2	1	1	4	2	3	2	5	108	12	2	1	2
2002	68	14	1	1	2	2	0	0	5	5	2	6	2	1	109	1	2	2	2
2002	24	11	0	2	0	0	0	0	0	-1	2	3	1	0	110	9	2	1	1
2002	27	12	1	1	1	2	2	2	0	-1	2	8	2	0	111	24	2	 	2
2002	38	2	0	1	0	0	0	0	0	-1	1	7	1	0	112	14	2	2	2
2002	56	11	0	2	0	0	0	0	0	-1	2	11	1	0	113	9	2	1	1
2002	47	12	1	2	1	2	1	1	2	1	2	98	2	4	114	98	1	1	2
2002	78	15	1	2	0	0	0	0	0	-1	2	1	2	0	115	11	2	1	1
2002	30	11	1	1	1	3	3	2	0	-1	2	12	2	0	116	16	2	2	2
2002	59	12	1	2	0	0	0	0	0	-1	1	2	2	0	117	13	2	 	 
2002	71	12	1	2	0	0	0	0	0	-1	1	5	2	0	118	11	2	1	1
2002	89	12	1	2	0	0	0	0	0	-1	2	5	2	0	119	8	2	 	 
2002	55	12	1	1	2	2	2	0	1	4	2	8	2	5	120	10	2	2	1
2002	76	11	0	2	1	3	3	0	0	-1	2	4	1	0	121	9	2	 	2
2002	84	11	0	2	0	0	0	0	0	-1	2	12	1	0	122	8	2	2	2
2002	68	12	1	1	0	0	0	0	0	-1	2	7	2	0	123	13	2	1	2
2002	78	12	1	1	1	3	1	0	1	6	2	7	2	5	124	24	2	2	1
2002	71	2	0	2	8	3	0	0	3	4	2	9	1	3	125	8	2	2	2
2002	65	15	1	2	1	3	1	9	0	-1	1	2	2	0	126	9	5	1	1
2002	26	15	1	2	0	0	0	0	0	-1	1	8	2	0	127	20	5	1	1
2002	43	16	3	1	0	0	0	0	0	-1	1	11	3	0	128	23	5	1	1
2002	19	12	1	1	1	1	0	0	2	5	1	5	2	4	129	1	5	1	1
2002	83	17	4	1	8	1	1	0	0	-1	2	12	3	0	130	20	5	1	1
2002	35	20	4	1	0	0	0	0	0	-1	1	10	3	0	131	23	5	1	1
2002	31	16	3	2	0	0	0	0	0	-1	1	6	3	0	132	20	5	2	1
2002	38	13	1	2	1	2	1	2	1	2	1	1	2	5	133	19	2	1	1
2002	99	12	1	2	1	2	0	0	2	3	2	99	2	4	134	24	2	1	1
2002	30	12	1	1	0	0	0	0	0	-1	2	11	2	0	135	23	2	1	1
2002	44	14	2	2	1	2	2	2	1	1	2	2	2	5	136	20	2	1	1
2002	51	13	1	2	0	0	0	0	0	-1	2	5	2	0	137	11	2	 	2
2002	64	10	0	1	2	2	2	0	2	6	2	11	1	4	138	11	2	1	2
